행정기관,고령인구비율
경상남도  ,21.22127516513072
경상남도 경상남도 창원시 ,18.53654016863084
경상남도 경상남도 창원시 의창구 ,17.472756562115038
경상남도 경상남도 창원시 마산합포구 ,25.079536955381165
경상남도 경상남도 창원시 마산회원구 ,22.48980092293288
경상남도 경상남도 창원시 진해구 ,17.75087399220657
경상남도 경상남도 진주시 ,20.23641329942545
경상남도 경상남도 통영시 ,24.750940518982144
경상남도 경상남도 사천시 ,25.355256510356867
경상남도 경상남도 김해시 ,14.55635067990649
경상남도 경상남도 밀양시 ,33.87850236536201
경상남도 경상남도 거제시 ,14.999162993136544
경상남도 경상남도 양산시 ,17.33442240111377
경상남도 경상남도 의령군 ,41.86166211347349
경상남도 경상남도 함안군 ,30.70461890654457
경상남도 경상남도 창녕군 ,37.1873174358702
경상남도 경상남도 고성군 ,36.27620221948212
경상남도 경상남도 남해군 ,42.14078356449892
경상남도 경상남도 하동군 ,40.48695145064878
경상남도 경상남도 산청군 ,41.85713433192099
경상남도 경상남도 함양군 ,38.616004164041314
경상남도 경상남도 거창군 ,31.64180600330733
경상남도 경상남도 합천군 ,44.57748552360389
